Date,Open,High,Low,CLOSE,Adj Close,Volume
5/12/2020,85.949997,87.699997,83.5,86.199997,86.199997,77551590
5/13/2020,92.5,92.5,86.25,87.199997,87.199997,68086031
5/14/2020,83.949997,85.300003,82.550003,83.800003,83.800003,46340453
5/15/2020,84.699997,85.349998,82.800003,84.349998,84.349998,38592209
5/18/2020,84.5,84.5,79.599998,80.650002,80.650002,44221170
5/19/2020,82.5,85.650002,81.5,81.800003,81.800003,65378983
5/20/2020,81.25,84.400002,80.699997,83.449997,83.449997,36351053
5/21/2020,83.099998,85.199997,82.900002,84.099998,84.099998,37290144
5/22/2020,83.400002,83.900002,82,82.800003,82.800003,29252676
5/26/2020,83.900002,85.699997,82.599998,83.099998,83.099998,38014864
5/27/2020,84.099998,86,84,84.550003,84.550003,57947903
5/28/2020,86,88.150002,84.550003,87,87,96179680
5/29/2020,85.550003,87.5,84.650002,87,87,80813537
6/1/2020,88.900002,91.199997,88,89.550003,89.550003,71070852
6/2/2020,90,97.300003,89.75,96.5,96.5,125407771
6/3/2020,100,101.449997,97.400002,98.75,98.75,90598067
6/4/2020,99,101.400002,96.800003,98.5,98.5,72078707
6/5/2020,100.449997,112.449997,99.050003,110.75,110.75,187209208
6/8/2020,114,119.150002,113.349998,115.449997,115.449997,136943010
6/9/2020,117.449997,117.900002,110.25,111.449997,111.449997,79473751
6/10/2020,111,113,108.5,111.400002,111.400002,84038431
6/11/2020,109.900002,111.150002,105,106.150002,106.150002,55485897
6/12/2020,98,106.25,98,105.300003,105.300003,92989560
6/15/2020,104.650002,104.650002,100.050003,100.5,100.5,69318356
6/16/2020,102,103.5,92,94.75,94.75,215476711
6/17/2020,93,96.400002,91.800003,95.400002,95.400002,110830038
6/18/2020,95,97.199997,94.150002,96.349998,96.349998,58964344
6/19/2020,96.5,103.900002,95.599998,102.5,102.5,135462757
6/22/2020,102.349998,104.900002,101,102.650002,102.650002,68545834
6/23/2020,103,106,101.900002,104.400002,104.400002,68638552
6/24/2020,105.25,110.800003,104.199997,104.800003,104.800003,125457492
6/25/2020,103.849998,106.300003,101.650002,103.800003,103.800003,63198285
6/26/2020,105.400002,106.050003,100.349998,101.400002,101.400002,56327855
6/29/2020,101.400002,101.400002,98.050003,99.449997,99.449997,43274006
6/30/2020,101.75,102.300003,97.300003,98.25,98.25,50764363
7/1/2020,99,101.449997,98.199997,100.75,100.75,50857376
7/2/2020,100.75,102.949997,100.400002,101.550003,101.550003,48083736
7/3/2020,102.849998,106.349998,102.099998,103.449997,103.449997,87310642
7/6/2020,105,109.900002,104.5,109,109,91970198
7/7/2020,109.800003,112.599998,108.050003,109.050003,109.050003,85835716
7/8/2020,109.5,110.849998,104.199997,105.349998,105.349998,55887256
7/9/2020,106.300003,108.949997,104.650002,106.949997,106.949997,54492650
7/10/2020,106.699997,108.599998,105.400002,107.599998,107.599998,64694173
7/13/2020,108.849998,112.099998,106.849998,108,108,81893001
7/14/2020,106.900002,107.550003,104.099998,105.150002,105.150002,46924623
7/15/2020,106.800003,106.800003,102.5,103.199997,103.199997,49687046
7/16/2020,103.949997,103.949997,100.599998,102.949997,102.949997,44333785
7/17/2020,103.650002,106.949997,103.300003,106.400002,106.400002,42080157
7/20/2020,106.349998,106.349998,103.849998,105.050003,105.050003,39786731
7/21/2020,106,109.699997,105.5,108.449997,108.449997,66008143
7/22/2020,108.5,109.75,104.25,105.150002,105.150002,50735592
7/23/2020,105.449997,106.449997,104.699997,106.050003,106.050003,30722413
7/24/2020,104.699997,105.5,102.699997,103.75,103.75,39363520
7/27/2020,104,104.5,101.300003,101.699997,101.699997,29644533
7/28/2020,102.300003,107.199997,102,106.449997,106.449997,64271161
7/29/2020,108.099998,108.75,104.849998,105.75,105.75,44561639
7/30/2020,106.400002,106.75,102.849998,103.650002,103.650002,33378340
7/31/2020,104,105.400002,102.300003,104.650002,104.650002,33809018
8/3/2020,103,114.400002,102.900002,113.050003,113.050003,194765344
8/4/2020,112.949997,115.099998,110.800003,111.449997,111.449997,95906477
8/5/2020,112.400002,117.650002,112,115.400002,115.400002,99371050
8/6/2020,116.199997,117.699997,115.5,116.800003,116.800003,60092530
8/7/2020,117,119.699997,116,119.099998,119.099998,56489390
8/10/2020,119.949997,124.699997,119.699997,123.849998,123.849998,71093810
8/11/2020,125,125.800003,121.400002,122.300003,122.300003,50224665
8/12/2020,121,126.400002,120.599998,125.349998,125.349998,50713617
8/13/2020,126.099998,131.899994,124.400002,131.149994,131.149994,95489249
8/14/2020,131.149994,132.649994,123.699997,124.599998,124.599998,75032834
8/17/2020,124.5,126.25,120.599998,123.550003,123.550003,61154250
8/18/2020,124,127.5,123.599998,125.599998,125.599998,62153763
8/19/2020,127,127.599998,124.75,125.150002,125.150002,45128613
8/20/2020,123.449997,125.650002,121.099998,121.699997,121.699997,43530882
8/21/2020,124.199997,124.199997,120.150002,120.900002,120.900002,48650204
8/24/2020,122,123,120.800003,121.199997,121.199997,31294253
8/25/2020,121.800003,128.350006,121.099998,127.099998,127.099998,90263366
8/26/2020,130.5,139,128.350006,137.899994,137.899994,197510376
8/27/2020,140.100006,146.850006,139.300003,144.25,144.25,181380747
8/28/2020,144.149994,146.199997,140.5,142.800003,142.800003,95194825
8/31/2020,144.5,147.949997,138.199997,143.199997,143.199997,160564488
9/1/2020,143.399994,145.149994,140.399994,143.800003,143.800003,58811543
9/2/2020,144.300003,151.649994,141.449997,150.300003,150.300003,74947929
9/3/2020,151.600006,155.199997,149.550003,151.850006,151.850006,110156350
9/4/2020,147.899994,153.649994,147,147.800003,147.800003,95560889
9/7/2020,150,152,148,149.399994,149.399994,82617101
9/8/2020,149.449997,149.600006,141.199997,142.300003,142.300003,76286731
9/9/2020,141,141.75,135.699997,140.100006,140.100006,105355010
9/10/2020,142.800003,144.5,138,143.300003,143.300003,79606504
9/11/2020,143.100006,146.800003,141.649994,144.300003,144.300003,65135339
9/14/2020,147.199997,151.100006,145.5,148.550003,148.550003,84505930
9/15/2020,149.399994,149.399994,146.550003,148.399994,148.399994,42886817
9/16/2020,149.199997,154.300003,148.550003,151.449997,151.449997,85056501
9/17/2020,150.800003,151,146.199997,147.649994,147.649994,48119360
9/18/2020,148.699997,150.5,146.25,147.899994,147.899994,46270863
9/21/2020,147.75,147.75,135.5,137.449997,137.449997,64734493
9/22/2020,138,138.149994,129.649994,133.100006,133.100006,87298020
9/23/2020,135.5,136.699997,127.900002,131.399994,131.399994,74981613
9/24/2020,127.900002,128.800003,122.150002,122.800003,122.800003,62420957
9/25/2020,123.699997,128.350006,123.099998,127.25,127.25,65040759
9/28/2020,128.899994,134.300003,127.5,132.850006,132.850006,61830817
9/29/2020,134.949997,136,130.699997,131.699997,131.699997,63366932
9/30/2020,131.550003,134.399994,130.300003,133.300003,133.300003,48859088
10/1/2020,135.899994,136.5,132.550003,133.5,133.5,40491744
10/5/2020,136.949997,137.5,132.050003,133.899994,133.899994,55268322
10/6/2020,138,145.800003,136,144.75,144.75,161987221
10/7/2020,144.25,144.5,139.800003,141,141,68273641
10/8/2020,142.850006,143.5,139.600006,140.949997,140.949997,40900948
10/9/2020,141.149994,142.649994,138,138.449997,138.449997,37097190
10/12/2020,139.649994,139.649994,133,135.899994,135.899994,39279109
10/13/2020,135.399994,137.100006,132.850006,134.100006,134.100006,38973506
10/14/2020,133.75,134.649994,128.800003,130.699997,130.699997,45791440
10/15/2020,131.5,134.350006,126.5,126.949997,126.949997,64002864
10/16/2020,129.399994,130.050003,126,127.75,127.75,62553775
10/19/2020,129.800003,130.399994,127.800003,128.25,128.25,33157664
10/20/2020,128.100006,130.300003,126.349998,129.649994,129.649994,27465829
10/21/2020,131.050003,133.100006,128.300003,130.25,130.25,39252663
10/22/2020,129.699997,134.600006,128.449997,133.5,133.5,48808592
10/23/2020,134.899994,138.899994,134.100006,137,137,68711352
10/26/2020,138.399994,140.800003,131.25,133.699997,133.699997,88531579
10/27/2020,134.149994,136.75,130.850006,135.649994,135.649994,56856159
10/28/2020,139,143.25,133.5,134.800003,134.800003,152359338
10/29/2020,132,133,130,131.899994,131.899994,66632704
10/30/2020,133.199997,134.5,130.300003,132.649994,132.649994,51128530
11/2/2020,133.649994,134,131.100006,132.850006,132.850006,40388690
11/3/2020,135,137.399994,133.550003,134.100006,134.100006,52071476
11/4/2020,135.600006,137,134,135.899994,135.899994,44675934
11/5/2020,137,138,136,137.649994,137.649994,38928602
11/6/2020,137.649994,142.300003,137.649994,139,139,67966815
11/9/2020,140.600006,141.5,138.699997,141,141,40277460
