Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,CLOSE,VOLUME ,VALUE ,No of trades 
06/22/20,319.75,328,318.35,320.55,325.7,11031385,"3,560,988,131.35",97621
06/19/20,321,325.85,317.3,318.1,320.55,15134693,"4,868,043,356.90",130654
06/18/20,308.2,319.2,307.1,308.2,318.1,11369278,"3,578,852,511.90",116074
06/17/20,307.2,314.8,305.05,308.95,308.2,11447411,"3,555,621,704.35",94469
06/16/20,315.1,322.55,301.3,306.2,308.95,23442027,"7,338,779,481.25",195544
06/15/20,313.75,315,302.6,317.6,306.2,18582927,"5,701,281,538.95",157596
06/12/20,300,320.45,300,313.15,317.6,17558010,"5,409,058,690.90",140583
06/11/20,322,323.5,311,324,313.15,13906985,"4,425,184,371.35",176936
06/10/20,331.1,331.5,322,332.2,324,17218893,"5,601,593,198.55",175572
06/09/20,336,344,328.85,333.6,332.2,14926862,"5,033,688,024.75",172156
06/08/20,347.7,350.8,327.35,338.95,333.6,16481809,"5,584,840,098.30",156820
06/05/20,325.8,343.65,325.05,319.95,338.95,30918495,"10,423,983,284.05",262033
06/04/20,316.9,322.6,314.6,317.4,319.95,11251331,"3,591,222,083.45",106014
06/03/20,325.45,326.3,315.05,319.4,317.4,10387136,"3,341,109,720.90",107042
06/02/20,318,323.45,314.55,315.2,319.4,16563267,"5,284,947,430.20",147289
06/01/20,302,317.8,302,295.2,315.2,24384633,"7,656,243,893.60",222950
05/29/20,292.1,296.9,287.85,295.5,295.2,13128027,"3,834,529,453.70",117534
05/28/20,291.9,298.6,289.4,287.95,295.5,16602462,"4,879,513,936.05",153571
05/27/20,282.2,290.4,279.05,280.45,287.95,14007562,"3,966,957,647.45",133263
05/26/20,277.5,284.4,277,274.45,280.45,12108740,"3,411,278,653.25",119897
05/22/20,279,280.25,273.3,283.7,274.45,10656911,"2,943,598,776.45",104788
05/21/20,283.9,286.25,278.5,283.2,283.7,13035881,"3,686,249,554.70",119568
05/20/20,272,284,270.1,272,283.2,14423657,"4,037,917,086.25",135400
05/19/20,271.95,280.4,267.5,266.6,272,16897173,"4,648,458,657.85",160617
05/18/20,274.1,276.2,262.45,273.45,266.6,11616080,"3,102,609,332.35",126742
05/15/20,270,276.8,268.8,268.55,273.45,14991458,"4,102,996,468.50",140643
05/14/20,272,275.2,267.3,276.55,268.55,10796959,"2,919,511,068.35",125086
05/13/20,287.5,288,273.5,273.95,276.55,14723748,"4,136,288,213.50",144455
05/12/20,273.3,276.8,264.5,276.2,273.95,15040334,"4,051,062,305.45",154012
05/11/20,275.55,283,275,272.9,276.2,10907408,"3,043,983,356.80",129049
05/08/20,282.8,284,272,275.85,272.9,9878213,"2,736,816,388.30",108729
05/07/20,275.45,282.85,274.65,277.75,275.85,8958411,"2,494,364,184.90",103931
05/06/20,274.1,280.45,272.05,272.65,277.75,9507731,"2,633,168,094.60",95963
05/05/20,279,282.4,271,273.6,272.65,12182355,"3,372,723,173.35",120197
05/04/20,285,286.15,270.1,298.3,273.6,12892158,"3,528,725,886.70",167867
04/30/20,289.95,304.5,288.7,282.65,298.3,23636082,"7,026,587,166.55",239510
04/29/20,273,286.15,271.25,273.55,282.65,19876696,"5,600,679,856.25",215401
04/28/20,273.9,275.4,269.55,271.65,273.55,8548134,"2,329,381,054.00",77655
04/27/20,274,276.9,270.5,267.55,271.65,12410812,"3,393,162,809.40",154370
04/24/20,266.3,273.85,264.45,270.3,267.55,12383846,"3,340,556,827.25",120833
04/23/20,270,279,269,268.35,270.3,15468122,"4,243,125,772.40",182297
04/22/20,266.1,269.9,259.2,265.95,268.35,14789857,"3,926,075,621.85",158776
04/21/20,280.05,281,263.25,286.4,265.95,16925417,"4,512,317,904.45",286180
04/20/20,294.8,295,285.1,293.35,286.4,11961355,"3,460,143,136.05",129180
04/17/20,297.5,299.7,285.5,288.9,293.35,17492884,"5,096,770,272.80",156395
04/16/20,276,291.9,276,285.15,288.9,17248806,"4,928,719,772.10",159950
04/15/20,287.4,295.65,281.9,282.55,285.15,20991943,"6,072,528,289.45",216185
04/13/20,285,292,273.85,284.85,282.55,15510598,"4,359,767,281.25",169856
04/09/20,280.5,289.6,277.65,274.75,284.85,13855788,"3,929,956,073.90",150361
04/08/20,271,292.9,266.65,276.2,274.75,20435156,"5,760,222,351.50",215435
04/07/20,266.05,277.7,261.2,253.75,276.2,15956873,"4,310,467,411.60",166420
04/03/20,267.7,268.9,251,266.35,253.75,12528030,"3,203,160,554.55",174595
04/01/20,266,267.95,258.1,269.6,266.35,11965031,"3,142,149,954.15",142931
03/31/20,262.25,272.45,259.7,254.05,269.6,15787411,"4,207,057,234.20",185680
03/30/20,267,270.75,250.85,277.25,254.05,15853761,"4,122,028,384.35",218642
03/27/20,291,295.25,274.2,284.45,277.25,11184139,"3,159,161,558.70",123864
03/26/20,290,295.5,280.1,286.8,284.45,11493837,"3,316,356,966.80",139566
03/25/20,267.05,295,267.05,271.9,286.8,9442834,"2,644,775,539.45",140205
03/24/20,277.05,285.65,258.6,271.15,271.9,12928877,"3,492,518,886.05",160998
03/23/20,268,278,253.55,297.75,271.15,12100684,"3,202,196,946.30",149907
03/20/20,279.7,305,274.15,271.85,297.75,17307882,"4,971,827,314.15",176547
03/19/20,268.95,284.5,260.5,280.85,271.85,18723257,"5,138,057,805.80",198240
03/18/20,290,293.15,275.7,282.75,280.85,18772675,"5,287,435,067.70",193555
03/17/20,300,307.65,280.5,289.6,282.75,20654603,"6,082,202,960.20",241973
03/16/20,304,317.65,287.1,326.7,289.6,23606452,"7,131,488,009.80",291120
03/13/20,270,332.1,255.35,287.45,326.7,33842310,"10,211,421,110.45",270225
03/12/20,275,291.8,267.2,299.75,287.45,43767763,"12,317,269,147.15",314421
03/11/20,324,326.05,296.1,322.3,299.75,28693709,"8,840,328,886.70",251678
03/09/20,337.5,337.7,319.75,351.5,322.3,20423826,"6,685,868,769.30",205411
03/06/20,356.95,358.3,346.65,375.75,351.5,14848188,"5,235,996,665.00",131450
03/05/20,383.95,387.8,374.3,377.15,375.75,14628468,"5,564,489,039.40",121582
03/04/20,388.05,389.9,365.1,387.55,377.15,22937148,"8,572,706,132.00",191616
03/04/20,388.05,389.9,365.1,387.55,377.15,22937148,"8,572,706,132.00",191616
03/04/20,388.05,389.9,365.1,387.55,377.15,22937148,"8,572,706,132.00",191616
03/04/20,388.05,389.9,365.1,387.55,377.15,22937148,"8,572,706,132.00",191616
03/04/20,388.05,389.9,365.1,387.55,377.15,22937148,"8,572,706,132.00",191616
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/03/20,373.5,391,370.1,364.05,387.55,18648933,"7,056,030,398.20",170252
03/02/20,393.7,394,358,381.75,364.05,20220772,"7,680,564,293.85",149142
02/28/20,398.7,398.95,375,412.8,381.75,24532833,"9,410,451,642.90",209662
02/27/20,414.9,415.9,407.05,416.3,412.8,10226379,"4,204,395,291.50",123126
02/26/20,411.3,419.4,411.3,421.3,416.3,14270706,"5,934,249,599.60",146854
02/25/20,419,425.55,414.4,415.45,421.3,14558176,"6,120,091,722.50",148263
02/24/20,434.85,434.85,413.35,443.55,415.45,17523142,"7,429,334,259.50",154878
02/20/20,429,447.7,428,433.2,443.55,12980237,"5,723,969,543.25",110855
02/19/20,436.45,438.5,428.15,431.4,433.2,8465109,"3,667,058,174.25",83669
02/19/20,436.45,438.5,428.15,431.4,433.2,8465109,"3,667,058,174.25",83669
02/19/20,436.45,438.5,428.15,431.4,433.2,8465109,"3,667,058,174.25",83669
02/19/20,436.45,438.5,428.15,431.4,433.2,8465109,"3,667,058,174.25",83669
02/19/20,436.45,438.5,428.15,431.4,433.2,8465109,"3,667,058,174.25",83669
02/18/20,434,435.15,421.3,436.85,431.4,11502423,"4,908,955,875.90",120480
02/18/20,434,435.15,421.3,436.85,431.4,11502423,"4,908,955,875.90",120480
02/17/20,435.5,440.9,433,434.55,436.85,9724765,"4,252,482,852.50",90008
02/17/20,435.5,440.9,433,434.55,436.85,9724765,"4,252,482,852.50",90008
02/14/20,441,445.55,433.35,441.25,434.55,9484817,"4,176,185,868.10",91279
02/13/20,448.75,451.7,439.35,447.95,441.25,9965221,"4,418,899,311.95",92151
02/12/20,450,454.5,442.55,444.1,447.95,11785858,"5,280,796,934.20",120023
02/11/20,448.35,457.7,442.7,443.8,444.1,16824371,"7,588,614,424.95",150061
02/10/20,460.25,463.25,440,471,443.8,26796048,"11,996,813,737.10",249715
02/07/20,475.7,479.7,468.85,477.6,471,11649909,"5,512,185,950.70",146151
02/06/20,478,487.25,471.6,475.05,477.6,16666074,"8,017,549,957.10",170741
02/05/20,452.25,479.7,448,451.9,475.05,16056765,"7,428,094,432.45",167240
02/04/20,442,453.4,433.45,436.05,451.9,13336263,"5,952,188,084.80",126255
02/03/20,418,439,416.6,423.8,436.05,16237126,"6,938,896,142.50",158028
02/01/20,431.5,440,420.1,438.7,423.8,12915212,"5,568,621,704.00",107938
01/31/20,453,454.25,436.45,448.55,438.7,10738727,"4,773,521,334.00",105534
01/30/20,451.9,454.45,441.4,452.2,448.55,14652016,"6,554,832,560.05",131714
01/29/20,452.8,459.7,449.6,446.25,452.2,11081834,"5,038,852,123.95",107296
01/28/20,460,462,442,462.45,446.25,18015283,"8,134,839,761.20",174202
01/27/20,477.75,477.75,460.1,483.4,462.45,12963119,"6,050,040,151.80",135612
01/24/20,480.3,485.1,476.45,480.25,483.4,7481130,"3,609,061,420.60",98666
01/23/20,475.9,481.85,473.15,475.05,480.25,7200020,"3,448,760,303.00",90210
01/22/20,478.65,479.85,473.2,476.15,475.05,7662171,"3,651,519,780.40",87905
01/21/20,487.8,487.8,473.5,490.65,476.15,11315803,"5,443,160,301.10",123037
01/20/20,497,499.8,489.15,495.25,490.65,7291878,"3,594,231,285.75",83357
01/17/20,493.3,498.9,491.9,494.4,495.25,5682460,"2,817,122,074.85",57841
01/16/20,502,504.05,492.1,502.1,494.4,10438369,"5,166,607,484.95",92004
01/15/20,491.9,503.55,489.15,498.6,502.1,12117948,"6,030,800,139.70",99986
01/14/20,496.45,506,495.75,495.75,498.6,15660822,"7,841,540,774.50",139782
01/13/20,491.1,497,487.75,486.2,495.75,10942750,"5,390,918,649.80",98957
01/10/20,485.5,493.85,480,483.15,486.2,15927634,"7,767,626,596.90",171547
01/09/20,485,486,479.1,475.25,483.15,10131152,"4,891,767,486.85",104492
01/08/20,471.65,478.15,467,476.1,475.25,13304841,"6,282,533,576.10",122527
01/07/20,475.5,484.6,473.55,473.25,476.1,13195788,"6,325,894,944.90",116893
01/06/20,480,480,470.55,483.7,473.25,9601608,"4,560,244,586.05",93838
01/03/20,483,486.2,479.45,484.85,483.7,12956863,"6,253,074,226.40",124603
01/02/20,472,487.8,472,467.75,484.85,21674961,"10,423,060,443.80",188842
01/01/20,473,476.5,464.8,472.05,467.75,12100530,"5,684,709,148.00",80242
